Bread,Water,Diet
Cellphone,Gift,Free apps
Charity,Human,Generosity
Corpse,Life,Resurrection
Death,Life,Resurrection
Diet,Religion,Fasting
Energy,Virtue,Calmness
Faith,Human,Salvation
Faith,Virtue,Hope
Free apps,Cellphone,Altruism
Fun,Human,Cheerfulness
Fun,Virtue,Joy
Gift,Human,Generosity
Grass,Diet,Vegetarianism
Human,Human,Birth,Love
Human,Life,Birth
Human,Order,Discipline
Human,Religion,Faith
Human,Virtue,Tolerance,Assistance
Humility,Virtue,Tolerance
Meat,Religion,Fasting
Money,Donation,Charity
Money,Fun,Donation
Money,Human,Gift
Pride,Virtue,Modesty
Sex,Knowledge,Sublimation
Sex,Order,Chastity
Sex,Priest,Chastity
Sex,Scientist,Continence
Sex,Wizard,Continence
Sex,Work,Sublimation
Sin,Light,Virtue
Spirit,Discipline,Abstention
Spirit,Order,Abstention
Vodka,Discipline,Abstention
Vodka,Order,Abstention
Weeds,Diet,Vegetarianism
Work,Human,Diligence
Work,Order,Discipline
Wrath,Virtue,Humility
